Level1,Level2,Level3,Level4,Level5
人工智慧 (AI),機器學習 (Machine Learning),自然語言處理 (NLP),,
人工智慧 (AI),機器學習 (Machine Learning),監督式學習 (Supervised Learning),支持向量機 (SVM),
人工智慧 (AI),機器學習 (Machine Learning),監督式學習 (Supervised Learning),隨機森林 (Random Forest),
人工智慧 (AI),機器學習 (Machine Learning),監督式學習 (Supervised Learning),循環神經網路 (RNN),長短期記憶 (LSTM)
人工智慧 (AI),機器學習 (Machine Learning),非監督式學習 (Unsupervised Learning),分群 (Clustering),LDA (Latent Dirichlet Allocation)
人工智慧 (AI),機器學習 (Machine Learning),非監督式學習 (Unsupervised Learning),分群 (Clustering),K means
人工智慧 (AI),生成式AI (Gen AI),Prompt 工程 (Prompt Engineering),,
人工智慧 (AI),生成式AI (Gen AI),LLM (Large Language Model),,
人工智慧 (AI),生成式AI (Gen AI),LangChain (Framework),,
人工智慧 (AI),生成式AI (Gen AI),AI 工具 (AI tools),Vanna AI (Agent - Chat with DB),
人工智慧 (AI),生成式AI (Gen AI),AI 工具 (AI tools),Context7 (Up-to-date coding document),
人工智慧 (AI),生成式AI (Gen AI),AI 代理 (AI Agents),CAG (Cachel-Augmented Generation),
人工智慧 (AI),生成式AI (Gen AI),AI 代理 (AI Agents),MCP,
人工智慧 (AI),生成式AI (Gen AI),AI 代理 (AI Agents),RAG (Retrieval-Augmented Generation),LightRAG (knowledge-graph RAG solution)
人工智慧 (AI),生成式AI (Gen AI),AI 代理 (AI Agents),RAG (Retrieval-Augmented Generation),UniversalRag (Multimodal RAG)
人工智慧 (AI),生成式AI (Gen AI),AI 代理 (AI Agents),A2A (Agent to Agent),
資料技能 (Data Skills),資料預處理 (Data Preprocessing),遺漏值 (Missing Data),,
資料技能 (Data Skills),資料預處理 (Data Preprocessing),極端值 (Outliers),,
資料技能 (Data Skills),資料視覺化 (Data Visualization),,,
資料技能 (Data Skills),網路爬蟲 (Web Crawler/Scraping),Scrapy (Tool - Scrapy),,
資料技能 (Data Skills),網路爬蟲 (Web Crawler/Scraping),Crawl4AI (Tool - Scrapy),,
資料技能 (Data Skills),資料庫 (Database),SQL (Structured Query Language),MySQL,
資料技能 (Data Skills),資料庫 (Database),SQL (Structured Query Language),Postgres,
資料技能 (Data Skills),資料庫 (Database),SQL Tools,ChartDB (DDL visualization),
資料技能 (Data Skills),資料庫 (Database),SQL Tools,Vanna AI (Agent - Chat with DB),
資料技能 (Data Skills),統計分析 (Statistical Analysis),加權 (Weighting),,
資料技能 (Data Skills),統計分析 (Statistical Analysis),調節作用 (Moderation Effect),,
資料技能 (Data Skills),統計分析 (Statistical Analysis),中介作用 (Mediating Effect),,
資料技能 (Data Skills),統計分析 (Statistical Analysis),情境效應 (Contextual Effect),,
資料技能 (Data Skills),統計分析 (Statistical Analysis),參數模型 (Parametric Model),線性模型 (General Linear Modeling),變異數分析 (ANOVA)
資料技能 (Data Skills),統計分析 (Statistical Analysis),參數模型 (Parametric Model),線性模型 (General Linear Modeling),多元回歸 (Multiple Regression)
資料技能 (Data Skills),統計分析 (Statistical Analysis),參數模型 (Parametric Model),線性模型 (General Linear Modeling),階層線性模型 (Hierarchical Linear Modeling)
資料技能 (Data Skills),統計分析 (Statistical Analysis),非參數模型 (None-Parametric Model),卡方分析 (Chi-squre analysis),
資料技能 (Data Skills),統計分析 (Statistical Analysis),誤差衡量 (Measurement Error),接收者操作特徵曲線 (ROC),
資料技能 (Data Skills),統計分析 (Statistical Analysis),時間序列分析 (Time-Series-Analysis),時間序列拆解法 (Time Series Decomposition),
資料技能 (Data Skills),統計分析 (Statistical Analysis),時間序列分析 (Time-Series-Analysis),互相關 (Cross-Correlation),
資料技能 (Data Skills),統計分析 (Statistical Analysis),時間序列分析 (Time-Series-Analysis),自相關 (AutoCorrelation),
資料技能 (Data Skills),統計分析 (Statistical Analysis),多變量統計分析 (Multivariate Statistical Analysis),結構方城模型 (Structural Equation Modeling),
資料技能 (Data Skills),統計分析 (Statistical Analysis),心理計量學 (Psychometrics),信度 (Reliability),組合信度 (Composite Reliability)
工作流自動化,n8n (Tool),,,
程式技能 (Programming),程式語言 (Languages),Python,,
程式技能 (Programming),開發工具 (Development Tools),版本控制 (Version Control),Git,
程式技能 (Programming),開發工具 (Development Tools),編輯器/IDE (Editors/IDEs),Vscode,
程式技能 (Programming),開發工具 (Development Tools),Vibe Coding,Cline,
程式技能 (Programming),開發工具 (Development Tools),Vibe Coding,Roo Code,
程式技能 (Programming),開發工具 (Development Tools),Vibe Coding,Augment,
程式技能 (Programming),框架與函式庫 (Frameworks & Libraries),Python 函式庫 (Python Libraries),Plotly (Visualization),
程式技能 (Programming),框架與函式庫 (Frameworks & Libraries),Python 函式庫 (Python Libraries),Matplotlib (Visualization),
程式技能 (Programming),框架與函式庫 (Frameworks & Libraries),Python 函式庫 (Python Libraries),Seaborn (Visualization),
程式技能 (Programming),框架與函式庫 (Frameworks & Libraries),Python 函式庫 (Python Libraries),Wordcloud (Visualization),
程式技能 (Programming),框架與函式庫 (Frameworks & Libraries),Python 函式庫 (Python Libraries),Dash (Web Application),
程式技能 (Programming),框架與函式庫 (Frameworks & Libraries),Python 函式庫 (Python Libraries),資料爬取 (Data Scraping),
程式技能 (Programming),API 設計與應用 (API Design & Usage),FastAPI,,
程式技能 (Programming),DevOps 與部署 (DevOps & Deployment),容器化,Docker,
知識與計劃管理 (knowledge & Project Management),Notion,,,
知識與計劃管理 (knowledge & Project Management),Obsidian,,,
